zRot,x,y,z,round,energy,HV,HJ,HCDR3,KV,KJ,KCDR3,LV,LJ,LCDR3
16.0,0.0,0.0,16.0,1,12457519.1322,86,1,29,7,2,147,,,
16.0,0.0,0.0,16.0,2,12457519.8462,86,1,29,7,2,199,,,
16.0,0.0,0.0,16.0,3,12457520.0429,86,1,29,7,2,113,,,
16.0,0.0,0.0,16.0,4,12457522.8252,86,1,29,6,2,147,,,
16.0,0.0,0.0,16.0,5,12457523.0734,86,1,29,61,2,147,,,
16.0,0.0,-5.0,16.0,1,5811.5934,8,1,28,,,,31,4,20
16.0,0.0,-5.0,16.0,2,5811.9047,8,1,28,,,,31,4,27
16.0,0.0,-5.0,16.0,3,5812.0807,8,1,28,,,,31,4,33
16.0,0.0,-5.0,16.0,4,5812.2362,8,1,28,,,,31,4,35
16.0,0.0,-5.0,16.0,5,5812.986,8,1,28,,,,31,4,21
16.0,0.0,-5.0,16.0,1,128898886.314,12,4,56,39,2,147,,,
16.0,0.0,-5.0,16.0,2,128898886.475,12,4,56,39,2,88,,,
16.0,0.0,-5.0,16.0,3,128898886.68,12,4,56,39,2,93,,,
16.0,0.0,-5.0,16.0,4,128898886.734,12,4,56,39,2,199,,,
16.0,0.0,-5.0,16.0,5,128898886.738,12,4,56,39,2,82,,,
